CUSTOMER,CONTACT,ADDRESS,CITY,FIRSTORDER,STATE,ZIP CODE,COUNTRY,PHONE,NAME
14324742,A. BAUM,5089 CALERO AVENUE,SAN JOSE,05-Feb-70,CA,95123,USA,408629-0589,SANTA CLARA VALLEY TECHNOLOGY SPECIALISTS
14569877,CHARLES BARON,198 FAYETTEVILLE ROAD,MEMPHIS,15-Aug-88,NC,27514,USA,919/489-6792,PRECISION PRODUCTS
14898029,S. TURNER,1598 PICCARD DRIVE,ROCKVILLE,12-Nov-81,MD,20850,USA,301/760-2541,UNIVERSITY BIOMEDICAL MATERIALS
15432147,D.W. KADARAUCH,103 HARRIET STREET,KALAMAZOO,28-Apr-91,MI,49001,USA,616/582-3906,GREAT LAKES LABORATORY EQUIPMENT MANUFACTURERS
18543489,A. SILVERIA,5609 RIO GRANDE,AUSTIN,10-Sep-84,TX,78701,USA,512/478-0788,LONE STAR STATE RESEARCH SUPPLIERS
19783482,M.R. HEFFERNAN,4613 MICHAEL FARADAY DRIVE,RESTON,18-Jul-73,VA,22090,USA,703/714-2900,TWENTY-FIRST CENTURY MATERIALS
19876078,J.A. WHITTEN,1095 HIGHWAY 99 SOUTH,TULARE,11-May-84,CA,93274,USA,209/686-3953,"SAN JOAQUIN SCIENTIFIC AND INDUSTRIAL SUPPLY, INC."
26422096,Y. CHAVANON,40 RUE PERIGNON,LA ROCHELLE,14-Jun-88,,75014,France,4268-54-72,SOCIETE DE RECHERCHES POUR LA CHIRURGIE ORTHOPEDIQUE
26984578,GUNTHER SPIELMANN,MECHITARISTENGASSE 5,VIENNA,25-May-92,,5110,Austria,43-57-04,INSTITUT FUER TEXTIL-FORSCHUNG
27654351,I. CLEMENS,103 RUE D'EGMONT,BRUSSELS,14-Oct-91,,5010,Belgium,02/215-37-32,INSTITUT DE RECHERCHE SCIENTIFIQUE MEDICALE
28710427,M.C. BORGSTEEDE,BIRMOERSTRAAT 34,THE HAGUE,10-Oct-90,,3607,Netherlands,(021)570517,ANTONIE VAN LEEUWENHOEK VERENIGING VOOR MICROBIOLOGIE
29834248,A.D.M. BRYCESON,"44 PRINCESS GATE, HYDE PARK","LONDON, SW7 1PU",29-Jan-91,,----,Britain,(0552)715311,BRITISH MEDICAL RESEARCH AND SURGICAL SUPPLY
31548901,W.E. MACDONALD,5063 RICHMOND MALL,"VANCOUVER, V5T 1L2",19-Mar-89,,----,Canada,406/422-3413,NATIONAL COUNCIL FOR MATERIALS RESEARCH
38763919,JORGE RUNNAZZO,SALGUERO 2345,BUENOS AIRES,10-Dec-89,,1405,Argentina,244-6324,INSTITUTO DE BIOLOGIA Y MEDICINA NUCLEAR
39045213,ELISABETE REGIS GUILLAUMON,RUA DONA ANTONIA DE QUEIROS 381,SAO PAULO,18-Aug-87,,1051,Brazil,012/302-1021,LABORATORIO DE PESQUISAS VETERINARIAS DESIDERIO FINAMOR
43290587,Y. FUKUDA,"3-2-7 ETCHUJMA, KOTO-KU",TOKYO 101,08-Feb-79,,----,Japan,(02)933-3212,HASSEI SAIBO GAKKAI
43459747,R.G. HUGHES,191 LOWER PLENTY ROAD,"PRAHRAN, VICTORIA",28-Jul-77,,3181,Australia,03/734-5111,RESEARCH OUTFITTERS
46543295,,"4-3-8 ETCHUJMA, KOTO-KU",TOKYO 102,19-Apr-89,,----,Japan,(03)022-2332,WESTERN TECHNOLOGICAL SUPPLY
46783280,LING TAO SOON,356 CLEMENTI ROAD,SINGAPORE,27-Sep-84,,2374,Singapore,3762855,NGEE TECHNOLOGICAL INSTITUTE
48345514,J.Q. RIFAII,POB 8032,RAS AL KHAIMAH,10-Sep-91,,----,United Arab Emirates,213445,GULF SCIENTIFIC SUPPLIES
